OBJECTID,CNN,CORNER,STREET1,STREET2,DESCRIPT,COUNT,INSTALL_MO,INSTALL_YR,UPDATE_MO,UPDATE_YR,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Neighborhoods
193,25880000,,MARKET ST,15TH ST,MIXING ZONE,1,11,2016,,,POINT (-122.43081 37.76601),37,3,5,5,37
202,26347000,,MASONIC AVE,FELL ST,INTERSECTION SHARROW,1,8,2018,,,POINT (-122.44589 37.77299),24,7,11,12,24
642,23944000,E,5TH ST,HOWARD ST,MIXING ZONE,,3,2019,,,POINT (-122.40492 37.781494),32,1,10,34,32
28,26440000,,PAGE ST,STANYAN ST,BIKE SIGNAL,2,,2013,,,POINT (-122.45371 37.770092),25,7,11,3,25
140,24311000,,8TH ST,MISSION ST,BIKE SIGNAL,2,6,2019,,,POINT (-122.41315 37.777454),32,1,10,34,32
154,26392000,"NE,SE",MASONIC AVE,TURK ST,TWO-STAGE LEFT,2,8,2018,,,POINT (-122.44703 37.778618),97,7,11,18,97
115,26031000,,OAK ST,DIVISADERO ST,BIKE BOX,1,,2013,,,POINT (-122.43741 37.77313),26,4,11,3,26
32,26036000,,OAK ST,BRODERICK ST,BIKE SIGNAL,2,,2013,,,POINT (-122.43907 37.77292),112,7,11,3,112
180,24421000,,11TH ST,MISSION ST,BIKE BOX,1,8,2017,,,POINT (-122.41709 37.77432),32,1,10,34,32
142,30756000,NE,MARKET ST,OCTAVIA BLVD,BIKE BOX,1,4,2018,,,POINT (-122.423386 37.77188),32,1,5,20,32
158,30758000,NE,DUBOCE AVE,MARKET ST,BIKE BOX,2,,2014,4,2018,POINT (-122.42629 37.769596),37,3,5,20,37
68,33030000,,13TH ST,BERNICE ST,INTERSECTION SHARROW,1,9,2015,,,POINT (-122.41411 37.76953),53,3,10,20,53
50,24216000,,DIVISION ST,11TH ST,TWO-STAGE LEFT,2,9,2015,,,POINT (-122.41092 37.769405),32,3,9,20,32
55,24275000,,FOLSOM ST,HALLAM ST,INTERSECTION SHARROW,1,1,2018,,,POINT (-122.40883 37.775948),32,1,10,34,32
113,21865000,,SAN JOSE AVE,ST MARYS AVE,MIXING ZONE,1,8,2017,,,POINT (-122.42848 37.73501),93,9,5,2,93
206,26376000,SE,MASONIC AVE,HAYES ST,TWO-STAGE LEFT,1,8,2018,,,POINT (-122.446075 37.77393),24,7,11,18,24
127,25175000,,POLK ST,TURK ST,BIKE SIGNAL,2,3,2019,,,POINT (-122.41898 37.782166),21,4,10,36,21
325,25853000,SE,VALENCIA ST,MCCOPPIN ST,MIXING ZONE,1,5,2019,,,POINT (-122.422516 37.77159),32,1,10,20,32
109,24327000,,8TH ST,STEVENSON ST,INTERSECTION SHARROW,1,5,2017,,,POINT (-122.41413 37.778236),32,5,10,34,32
1602,22865000,,DEWEY BLVD,LAGUNA HONDA BLVD,JUGHANDLE,1,8,2020,,,POINT (-122.45916 37.74728),49,7,8,41,49
49,24524000,,FOLSOM ST,ESSEX ST,INTERSECTION SHARROW,1,4,2016,,,POINT (-122.39563 37.786373),30,1,10,8,30
26,26437000,,FELL ST,PANHANDLE PATH/SHRADER ST,BIKE SIGNAL,1,,2011,,,POINT (-122.45242 37.772186),24,7,11,12,24
136,25975000,,15TH ST,SANCHEZ ST,BIKE BOX,1,5,2019,,,POINT (-122.43102 37.76599),28,3,5,5,28
961,25925000,N,OCTAVIA BLVD,HAYES ST,INTERSECTION SHARROW,1,12,2019,,,POINT (-122.4245 37.776684),22,4,11,9,22
184,30045000,,MCALLISTER ST,CHARLES J BRENHAM PL,TWO-STAGE LEFT,1,4,2017,,,POINT (-122.41313 37.78099),20,5,10,36,20
